┌─────────┬─────────┬────────────────┬───────────┬────────────────┬─────────────────────┐
│ user_id │ persona │ trend_affinity │ age_group │ income_bracket │ dietary_restriction │
│ varchar │ varchar │    varchar     │  varchar  │    varchar     │       varchar       │
├─────────┼─────────┼────────────────┼───────────┼────────────────┼─────────────────────┤
│ U00001  │ casual  │ gut-health     │ 45-54     │ High           │ None                │
│ U00002  │ fitness │ plant-based    │ 55+       │ Low            │ None                │
│ U00003  │ budget  │ plant-based    │ 18-24     │ Low            │ Kosher              │
│ U00004  │ budget  │ gut-health     │ 35-44     │ Medium         │ None                │
│ U00005  │ fitness │ low-sugar      │ 35-44     │ Medium         │ None                │
│ U00006  │ unknown │ low-sugar      │ 55+       │ Medium         │ Pescatarian         │
│ U00007  │ budget  │ low-sugar      │ 25-34     │ High           │ Vegetarian          │
│ U00008  │ casual  │ plant-based    │ 25-34     │ Medium         │ None                │
│ U00009  │ premium │ protein        │ 35-44     │ Low            │ Jain                │
│ U00010  │ fitness │ plant-based    │ 35-44     │ Low            │ None                │
│ U00011  │ budget  │ protein        │ 25-34     │ High           │ None                │
│ U00012  │ budget  │ plant-based    │ 35-44     │ High           │ None                │
│ U00013  │ budget  │ clean-label    │ 45-54     │ Medium         │ None                │
│ U00014  │ fitness │ clean-label    │ 35-44     │ Low            │ None                │
│ U00015  │ unknown │ gut-health     │ 18-24     │ Low            │ None                │
│ U00016  │ fitness │ protein        │ 25-34     │ High           │ Vegetarian          │
│ U00017  │ fitness │ clean-label    │ 35-44     │ Low            │ None                │
│ U00018  │ casual  │ gut-health     │ 45-54     │ Low            │ None                │
│ U00019  │ fitness │ clean-label    │ 18-24     │ Medium         │ None                │
│ U00020  │ casual  │ plant-based    │ 18-24     │ Medium         │ None                │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│ U04981  │ casual  │ clean-label    │ 35-44     │ Medium         │ None                │
│ U04982  │ budget  │ clean-label    │ 18-24     │ Low            │ Jain                │
│ U04983  │ fitness │ gut-health     │ 18-24     │ Medium         │ None                │
│ U04984  │ casual  │ gut-health     │ 18-24     │ High           │ Vegan               │
│ U04985  │ premium │ gut-health     │ 35-44     │ Medium         │ None                │
│ U04986  │ casual  │ low-sugar      │ 35-44     │ Medium         │ Vegan               │
│ U04987  │ unknown │ plant-based    │ 25-34     │ Medium         │ Vegetarian          │
│ U04988  │ premium │ low-sugar      │ 25-34     │ Low            │ None                │
│ U04989  │ fitness │ protein        │ 25-34     │ High           │ Vegetarian          │
│ U04990  │ budget  │ plant-based    │ 45-54     │ Medium         │ None                │
│ U04991  │ budget  │ low-sugar      │ 25-34     │ High           │ Jain                │
│ U04992  │ budget  │ clean-label    │ 45-54     │ High           │ None                │
│ U04993  │ casual  │ clean-label    │ 18-24     │ Low            │ Jain                │
│ U04994  │ casual  │ low-sugar      │ 25-34     │ Medium         │ None                │
│ U04995  │ premium │ gut-health     │ 25-34     │ Medium         │ Halal               │
│ U04996  │ casual  │ low-sugar      │ 18-24     │ Low            │ Vegetarian          │
│ U04997  │ premium │ low-sugar      │ 18-24     │ Medium         │ Vegan               │
│ U04998  │ budget  │ gut-health     │ 45-54     │ Low            │ None                │
│ U04999  │ premium │ low-sugar      │ 25-34     │ Medium         │ None                │
│ U05000  │ premium │ gut-health     │ 55+       │ Medium         │ Vegetarian          │
└─────────┴─────────┴────────────────┴───────────┴────────────────┴─────────────────────┘
  5000 rows (40 shown)            use .last to show entire result             6 columns
