┌────────────┬───────────┬──────────────────┬───────────┬─────────────┬───────────────┬─────────────────┐
│   state    │ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │ avg_order_value │
│  varchar   │  varchar  │      int64       │  double   │   int128    │    double     │     double      │
├────────────┼───────────┼──────────────────┼───────────┼─────────────┼───────────────┼─────────────────┤
│ Calfornia  │ Unknown   │              442 │     33.81 │        1438 │      49951.72 │          113.01 │
│ Colorado   │ Tier 2    │             1320 │     33.74 │        4878 │     166653.88 │          126.25 │
│ New York   │ Tier 1    │             1829 │     33.36 │        7099 │      180807.3 │           98.86 │
│ New York   │ Tier 2    │             1443 │     33.28 │        5740 │     142504.67 │           98.76 │
│ Colorado   │ Unknown   │              455 │     33.22 │        1675 │      79842.99 │          175.48 │
│ NY         │ Tier 2    │             1461 │     33.19 │        5550 │     206402.09 │          141.27 │
│ Colorado   │ Tier 1    │             1861 │      32.7 │        7975 │     283678.99 │          152.43 │
│ Calfornia  │ Tier 2    │             1324 │     32.44 │        5406 │     172363.53 │          130.18 │
│ Calfornia  │ Tier 1    │             1904 │     32.42 │        8908 │     259696.73 │           136.4 │
│ NY         │ Tier 1    │             1869 │     32.28 │        6715 │     197801.66 │          105.83 │
│ California │ Tier 2    │             1396 │     32.17 │        6025 │     210557.58 │          150.83 │
│ NY         │ Unknown   │              474 │     31.76 │        2061 │      76898.35 │          162.23 │
│ Illinois   │ Tier 1    │             1846 │     31.66 │        6523 │     209139.87 │          113.29 │
│ Illinois   │ Tier 2    │             1388 │     31.56 │        6060 │     178414.35 │          128.54 │
│ Florida    │ Unknown   │              441 │     31.48 │        1048 │      32493.83 │           73.68 │
│ California │ Tier 1    │             1824 │     31.34 │        5782 │     211750.62 │          116.09 │
│ New York   │ Unknown   │              451 │      31.3 │        2783 │      61265.03 │          135.84 │
│ California │ Unknown   │              481 │      30.5 │        2257 │      85659.01 │          178.09 │
│ Washington │ Tier 1    │             1840 │      30.3 │        7708 │     233351.09 │          126.82 │
│ Texas      │ Unknown   │              428 │     30.26 │        2167 │      85481.41 │          199.72 │
│ Georgia    │ Unknown   │              444 │     29.69 │        2947 │      71050.39 │          160.02 │
│ Florida    │ Tier 1    │             1827 │     29.64 │        8541 │     219843.14 │          120.33 │
│ Florida    │ Tier 2    │             1357 │     29.62 │        5754 │     164311.05 │          121.08 │
│ Washington │ Tier 2    │             1378 │     29.47 │        4694 │     192810.86 │          139.92 │
│ New York   │ Tier 3    │              899 │      29.4 │        3349 │       89006.0 │           99.01 │
│ Texas      │ Tier 2    │             1466 │     29.32 │        6997 │     184522.91 │          125.87 │
│ Illinois   │ Unknown   │              474 │     29.23 │        2194 │      52689.46 │          111.16 │
│ NY         │ Tier 3    │              938 │     28.77 │        4153 │     127067.95 │          135.47 │
│ Texas      │ Tier 1    │             1742 │     28.65 │        7089 │      225526.7 │          129.46 │
│ California │ Tier 3    │              905 │     28.56 │        3455 │     114957.77 │          127.03 │
│ Colorado   │ Tier 3    │              950 │     28.53 │        4559 │     164868.85 │          173.55 │
│ Calfornia  │ Tier 3    │              945 │     28.49 │        4034 │     142345.21 │          150.63 │
│ Georgia    │ Tier 1    │             1793 │     28.43 │        7107 │     199437.34 │          111.23 │
│ Washington │ Unknown   │              445 │     27.83 │        2441 │      53573.01 │          120.39 │
│ Georgia    │ Tier 2    │             1333 │     27.25 │        6766 │     153458.93 │          115.12 │
│ Illinois   │ Tier 3    │              942 │     26.82 │        4614 │     140264.21 │           148.9 │
│ Florida    │ Tier 3    │              894 │     26.61 │        3762 │       97505.2 │          109.07 │
│ Washington │ Tier 3    │              924 │     25.99 │        3481 │      92768.07 │           100.4 │
│ Texas      │ Tier 3    │              940 │     25.18 │        3388 │       94427.0 │          100.45 │
│ Georgia    │ Tier 3    │              925 │     24.54 │        4147 │     109443.11 │          118.32 │
└────────────┴───────────┴──────────────────┴───────────┴─────────────┴───────────────┴─────────────────┘
  40 rows                                                                                     7 columns
