┌───────────────────────────────────────────────────────┬──────────────────┬───────────┬─────────────┬───────────────┐
│                        claims                         │ num_transactions │ avg_price │ total_units │ total_revenue │
│                        varchar                        │      int64       │  double   │   int128    │    double     │
├───────────────────────────────────────────────────────┼──────────────────┼───────────┼─────────────┼───────────────┤
│ low-sugar, keto-friendly, jain-friendly               │              310 │    152.27 │        1458 │     228105.87 │
│ high-protein, low-sugar, nut-free                     │              317 │    147.04 │        1329 │     194989.35 │
│ vegan, halal, high-protein                            │              284 │    136.42 │        1890 │     228282.13 │
│ low-sugar, clean-label                                │              309 │    135.67 │        1242 │     171075.23 │
│ vegan, low-sugar, diabetic-friendly, keto-friendly    │              288 │    125.36 │        1228 │      164802.0 │
│ keto-friendly, gluten-free, jain-friendly             │              318 │    124.36 │        1246 │     143490.34 │
│ keto-friendly, plant-based                            │              315 │    123.88 │        1187 │     140563.27 │
│ clean-label, jain-friendly, kosher                    │              322 │    123.24 │        1625 │     214468.74 │
│ gluten-free, jain-friendly                            │              335 │     91.61 │        1930 │     161412.01 │
│ vegan, nut-free                                       │              303 │     91.56 │        1615 │     160952.36 │
│ gluten-free, halal                                    │              655 │     90.78 │        2431 │      176633.8 │
│ nut-free, clean-label, diabetic-friendly              │              326 │     83.91 │        1506 │     107981.59 │
│ kosher, jain-friendly, low-sugar, diabetic-friendly   │              306 │     66.35 │        1344 │      88887.78 │
│ gluten-free, high-protein, jain-friendly, kosher      │              327 │     65.03 │        1387 │      88025.86 │
│ clean-label, jain-friendly, halal, vegan              │              341 │     64.07 │        1095 │      63316.19 │
│ diabetic-friendly, vegan, clean-label, gluten-free    │              321 │     60.01 │        1173 │      71197.74 │
│ kosher, jain-friendly, gluten-free, high-protein      │              296 │      58.3 │         948 │      59003.14 │
│ gluten-free, kosher, diabetic-friendly                │              316 │     55.11 │        1259 │      66608.67 │
│ halal, clean-label, gluten-free, vegan                │              321 │     53.77 │        1712 │      92313.85 │
│ keto-friendly, vegan, low-sugar, diabetic-friendly    │              276 │     52.41 │        1820 │      103484.4 │
│            ·                                          │               ·  │        ·  │          ·  │          ·    │
│            ·                                          │               ·  │        ·  │          ·  │          ·    │
│            ·                                          │               ·  │        ·  │          ·  │          ·    │
│ nut-free, jain-friendly                               │              320 │      10.4 │         806 │       8609.08 │
│ high-protein, low-sugar                               │              313 │     10.27 │        1406 │      14325.87 │
│ high-protein, vegan                                   │              308 │      9.91 │        1059 │      10650.21 │
│ gluten-free                                           │              636 │      9.73 │        3473 │      32140.25 │
│ gluten-free, kosher                                   │              655 │      9.66 │        3119 │      29319.83 │
│ plant-based, low-sugar, kosher                        │              329 │      9.52 │        1245 │      11976.53 │
│ high-protein, jain-friendly, nut-free                 │              342 │       8.5 │        1350 │      11740.67 │
│ high-protein, halal                                   │              312 │       8.5 │        1392 │      11170.04 │
│ gluten-free, keto-friendly, kosher, low-sugar         │              325 │      8.43 │        1744 │      14414.84 │
│ jain-friendly, diabetic-friendly                      │              619 │      8.32 │        1990 │      15624.06 │
│ diabetic-friendly, jain-friendly, high-protein, vegan │              308 │      8.09 │        1319 │      10344.89 │
│ diabetic-friendly, plant-based                        │              309 │      8.08 │         725 │       5396.14 │
│ high-protein, gluten-free, halal                      │              314 │      7.66 │        1243 │       9360.52 │
│ jain-friendly, gluten-free, vegan                     │              351 │      7.61 │        2448 │      18534.42 │
│ high-protein, gluten-free, diabetic-friendly, kosher  │              315 │      7.38 │        2523 │      19363.36 │
│ gluten-free, jain-friendly, plant-based               │              325 │      7.09 │        1617 │      10817.21 │
│ vegan, diabetic-friendly, kosher                      │              291 │      6.46 │        1468 │      10587.67 │
│ gluten-free, plant-based                              │              319 │      5.99 │        1260 │       7252.45 │
│ gluten-free, halal, kosher                            │              323 │       5.6 │        1269 │       6707.63 │
│ diabetic-friendly, jain-friendly                      │              337 │      5.56 │         979 │       5039.38 │
└───────────────────────────────────────────────────────┴──────────────────┴───────────┴─────────────┴───────────────┘
  118 rows (40 shown)                           use .last to show entire result                            5 columns
